,Unnamed: 0,openTime,closeTime,open,high,low,close,baseVolume,quoteVolume,numTrades,takerBuyBaseVolume,takerBuyQuoteVolume
7134,7134,2024-02-25 18:30:00+00:00,2024-02-25 18:34:59.999000+00:00,51523.23,51528.46,51501.0,51528.45,35.54137,1830944.0702354,2356,16.71001,860813.469314
7135,7135,2024-02-25 18:35:00+00:00,2024-02-25 18:39:59.999000+00:00,51528.46,51545.0,51528.45,51544.99,16.06891,828194.8404915,1466,6.28307,323800.6538983
7136,7136,2024-02-25 18:40:00+00:00,2024-02-25 18:44:59.999000+00:00,51545.0,51551.01,51544.99,51551.01,18.53873,955660.2631797,1452,13.13426,677062.3399707
7137,7137,2024-02-25 18:45:00+00:00,2024-02-25 18:49:59.999000+00:00,51551.0,51563.3,51529.63,51540.05,51.94346,2677337.4425971,2525,28.60901,1474517.8970286
7138,7138,2024-02-25 18:50:00+00:00,2024-02-25 18:54:59.999000+00:00,51540.04,51549.99,51540.04,51549.98,27.86806,1436474.5966061,1838,15.5992,804069.1802617
7139,7139,2024-02-25 18:55:00+00:00,2024-02-25 18:59:59.999000+00:00,51549.98,51579.99,51549.97,51579.98,31.60094,1629448.1313108,1701,21.53923,1110622.1281566
7140,7140,2024-02-25 19:00:00+00:00,2024-02-25 19:04:59.999000+00:00,51579.99,51600.0,51548.89,51548.89,57.54091,2967722.177148,3531,16.81507,867344.1924884
7141,7141,2024-02-25 19:05:00+00:00,2024-02-25 19:09:59.999000+00:00,51548.89,51572.97,51521.1,51552.01,61.14113,3151604.8620521,3039,29.84825,1538557.7299751
7142,7142,2024-02-25 19:10:00+00:00,2024-02-25 19:14:59.999000+00:00,51552.0,51561.91,51531.46,51561.9,36.04687,1858074.098756,2437,15.89445,819291.3593831
7143,7143,2024-02-25 19:15:00+00:00,2024-02-25 19:19:59.999000+00:00,51561.9,51561.91,51522.02,51531.7,35.14922,1811395.5891806,2251,15.50402,798894.7272278
7144,7144,2024-02-25 19:20:00+00:00,2024-02-25 19:24:59.999000+00:00,51531.7,51543.34,51510.79,51525.99,50.00407,2576541.8406673,2432,23.19599,1195149.0936959
7145,7145,2024-02-25 19:25:00+00:00,2024-02-25 19:29:59.999000+00:00,51525.99,51694.37,51525.99,51659.58,315.78571,16307651.0087392,12781,181.36008,9363011.5793138
7146,7146,2024-02-25 19:30:00+00:00,2024-02-25 19:34:59.999000+00:00,51659.58,51700.0,51658.01,51700.0,99.27121,5130514.5978781,8350,61.96537,3202452.3936339
7147,7147,2024-02-25 19:35:00+00:00,2024-02-25 19:39:59.999000+00:00,51699.99,51700.0,51684.02,51690.01,101.11036,5226806.2351651,2650,60.63722,3134579.4007408
7148,7148,2024-02-25 19:40:00+00:00,2024-02-25 19:44:59.999000+00:00,51690.0,51719.83,51690.0,51706.73,159.41346,8242453.997257,3544,122.76004,6346994.0811561
7149,7149,2024-02-25 19:45:00+00:00,2024-02-25 19:49:59.999000+00:00,51706.74,51738.85,51681.46,51687.85,63.9218,3305647.354242,3248,30.48424,1576359.2740993
7150,7150,2024-02-25 19:50:00+00:00,2024-02-25 19:54:59.999000+00:00,51687.84,51700.0,51665.5,51681.05,52.86788,2732422.4642716,2233,20.81193,1075626.9205705
7151,7151,2024-02-25 19:55:00+00:00,2024-02-25 19:59:59.999000+00:00,51681.05,51710.33,51667.08,51672.96,74.72936,3862927.5147327,2458,39.868,2060889.5520224
7152,7152,2024-02-25 20:00:00+00:00,2024-02-25 20:04:59.999000+00:00,51672.97,51724.0,51672.36,51723.99,63.25205,3269494.6474304,3455,38.62591,1996610.1338503
7153,7153,2024-02-25 20:05:00+00:00,2024-02-25 20:09:59.999000+00:00,51724.0,51829.48,51723.99,51826.05,264.21327,13679686.4771162,9937,155.02912,8026978.0847658
7154,7154,2024-02-25 20:10:00+00:00,2024-02-25 20:14:59.999000+00:00,51826.04,51910.0,51758.42,51899.99,404.37698,20963184.5949681,14557,205.80394,10669906.9475273
7155,7155,2024-02-25 20:15:00+00:00,2024-02-25 20:19:59.999000+00:00,51900.0,51958.01,51831.1,51898.78,353.73844,18365157.9334327,18641,192.25009,9981118.2814081
7156,7156,2024-02-25 20:20:00+00:00,2024-02-25 20:24:59.999000+00:00,51898.79,51939.74,51850.0,51925.31,134.7488,6993114.7802338,5301,65.87063,3418273.0728634
7157,7157,2024-02-25 20:25:00+00:00,2024-02-25 20:29:59.999000+00:00,51925.31,51958.55,51887.93,51902.09,122.65385,6369475.4762987,4072,55.93448,2904692.1065989
7158,7158,2024-02-25 20:30:00+00:00,2024-02-25 20:34:59.999000+00:00,51902.09,51906.7,51821.84,51861.1,127.38118,6605441.6296051,5707,52.91081,2743500.2454425
7159,7159,2024-02-25 20:35:00+00:00,2024-02-25 20:39:59.999000+00:00,51861.09,51861.1,51755.37,51809.91,150.76819,7809791.1704177,6087,64.66068,3348560.8800601
7160,7160,2024-02-25 20:40:00+00:00,2024-02-25 20:44:59.999000+00:00,51809.92,51810.0,51790.98,51810.0,68.78533,3563194.1563752,2597,47.28109,2449201.578922
7161,7161,2024-02-25 20:45:00+00:00,2024-02-25 20:49:59.999000+00:00,51809.99,51822.0,51770.17,51778.68,76.78342,3976828.9366446,3033,43.90945,2274053.0113972
7162,7162,2024-02-25 20:50:00+00:00,2024-02-25 20:54:59.999000+00:00,51778.69,51778.69,51713.42,51713.43,99.15076,5129705.0830901,2784,30.83343,1595440.2169037
7163,7163,2024-02-25 20:55:00+00:00,2024-02-25 20:59:59.999000+00:00,51713.43,51754.0,51706.71,51735.8,48.62251,2515031.1284008,2361,26.42983,1367106.3805152
7164,7164,2024-02-25 21:00:00+00:00,2024-02-25 21:04:59.999000+00:00,51735.8,51770.0,51709.92,51762.87,64.39358,3331761.679223,3368,33.73757,1745410.2575985
7165,7165,2024-02-25 21:05:00+00:00,2024-02-25 21:09:59.999000+00:00,51762.87,51770.17,51709.03,51727.99,63.2101,3270726.6801591,2892,29.53444,1528169.2821164
7166,7166,2024-02-25 21:10:00+00:00,2024-02-25 21:14:59.999000+00:00,51727.98,51751.67,51716.9,51736.29,50.10604,2592308.1646395,3816,22.15467,1146177.4423925
7167,7167,2024-02-25 21:15:00+00:00,2024-02-25 21:19:59.999000+00:00,51736.28,51748.04,51666.66,51687.99,87.12407,4505620.0530233,4100,28.61802,1479934.3010769
7168,7168,2024-02-25 21:20:00+00:00,2024-02-25 21:24:59.999000+00:00,51687.99,51688.0,51640.88,51651.21,59.3642,3067008.163365,3144,23.16392,1196689.48181
7169,7169,2024-02-25 21:25:00+00:00,2024-02-25 21:29:59.999000+00:00,51651.21,51700.0,51647.48,51674.64,57.75877,2984578.5073843,2365,24.51956,1266900.6593422
7170,7170,2024-02-25 21:30:00+00:00,2024-02-25 21:34:59.999000+00:00,51674.64,51761.08,51674.64,51737.61,86.41493,4469433.6529266,4213,52.22344,2700849.5279442
7171,7171,2024-02-25 21:35:00+00:00,2024-02-25 21:39:59.999000+00:00,51737.61,51745.91,51712.26,51712.27,61.07432,3159724.3007672,2640,29.89947,1546852.8057016
7172,7172,2024-02-25 21:40:00+00:00,2024-02-25 21:44:59.999000+00:00,51712.26,51722.87,51710.56,51717.52,37.33692,1930899.5108266,1938,16.47279,851887.3789013
7173,7173,2024-02-25 21:45:00+00:00,2024-02-25 21:49:59.999000+00:00,51717.51,51740.03,51717.51,51735.8,32.29946,1670953.1372888,2259,18.06119,934344.7354655
7174,7174,2024-02-25 21:50:00+00:00,2024-02-25 21:54:59.999000+00:00,51735.8,51741.09,51717.95,51731.73,55.57788,2874985.5307962,3418,24.54348,1269557.6075419
7175,7175,2024-02-25 21:55:00+00:00,2024-02-25 21:59:59.999000+00:00,51731.74,51780.0,51731.73,51766.84,55.12508,2853475.9005455,3607,23.38284,1210211.3622923
7176,7176,2024-02-25 22:00:00+00:00,2024-02-25 22:04:59.999000+00:00,51766.83,51766.84,51712.31,51749.43,61.14951,3164256.7509335,5213,28.13361,1455661.0293378
7177,7177,2024-02-25 22:05:00+00:00,2024-02-25 22:09:59.999000+00:00,51749.43,51752.0,51741.1,51751.99,36.53211,1890440.1349479,2863,16.08414,832306.6831783
7178,7178,2024-02-25 22:10:00+00:00,2024-02-25 22:14:59.999000+00:00,51751.99,51752.0,51655.76,51731.09,75.10769,3882554.2570694,3061,36.70139,1896798.9666649
7179,7179,2024-02-25 22:15:00+00:00,2024-02-25 22:19:59.999000+00:00,51731.1,51823.52,51731.09,51816.65,65.07209,3369574.5448166,3301,42.85046,2218770.34348
7180,7180,2024-02-25 22:20:00+00:00,2024-02-25 22:24:59.999000+00:00,51816.65,51857.14,51811.06,51828.83,114.60288,5939029.9213022,3076,73.75564,3822078.0120226
7181,7181,2024-02-25 22:25:00+00:00,2024-02-25 22:29:59.999000+00:00,51828.83,51860.0,51819.5,51819.51,39.26995,2035700.135926,2481,18.61691,965110.3126964
7182,7182,2024-02-25 22:30:00+00:00,2024-02-25 22:34:59.999000+00:00,51819.51,51854.0,51819.5,51853.99,33.62688,1742852.2131066,1908,21.84929,1132417.903394
7183,7183,2024-02-25 22:35:00+00:00,2024-02-25 22:39:59.999000+00:00,51854.0,51856.65,51842.82,51856.64,56.96726,2953777.1476913,1938,29.79518,1544821.0068785
7184,7184,2024-02-25 22:40:00+00:00,2024-02-25 22:44:59.999000+00:00,51856.65,51860.0,51856.64,51859.12,32.71282,1696461.4528977,1390,13.75319,713227.8657277
7185,7185,2024-02-25 22:45:00+00:00,2024-02-25 22:49:59.999000+00:00,51859.12,51859.12,51848.98,51849.0,32.99207,1710855.8433668,1576,9.95574,516245.5855354
7186,7186,2024-02-25 22:50:00+00:00,2024-02-25 22:54:59.999000+00:00,51849.0,51849.01,51727.88,51727.88,57.69184,2986799.9994499,2628,17.98501,930708.874687
7187,7187,2024-02-25 22:55:00+00:00,2024-02-25 22:59:59.999000+00:00,51727.88,51727.89,51683.21,51702.01,52.33819,2706090.8173424,2491,27.85486,1440098.9004752
7188,7188,2024-02-25 23:00:00+00:00,2024-02-25 23:04:59.999000+00:00,51702.0,51785.62,51702.0,51782.14,123.51379,6391154.8075301,3079,70.17032,3630621.4712471
7189,7189,2024-02-25 23:05:00+00:00,2024-02-25 23:09:59.999000+00:00,51782.15,51803.26,51765.23,51781.1,54.17599,2805505.5306063,2899,27.49353,1423619.2137406
7190,7190,2024-02-25 23:10:00+00:00,2024-02-25 23:14:59.999000+00:00,51781.1,51795.36,51702.01,51708.0,51.56022,2668050.1108157,3302,18.87446,976468.9937212
7191,7191,2024-02-25 23:15:00+00:00,2024-02-25 23:19:59.999000+00:00,51708.0,51733.92,51670.0,51706.92,80.1968,4146199.5398003,2600,33.30304,1721627.6277553
7192,7192,2024-02-25 23:20:00+00:00,2024-02-25 23:24:59.999000+00:00,51706.91,51726.31,51683.69,51721.1,90.0873,4658228.2605331,3178,52.9425,2737439.3952594
7193,7193,2024-02-25 23:25:00+00:00,2024-02-25 23:29:59.999000+00:00,51721.1,51741.67,51721.09,51738.11,27.25217,1409973.0390822,1589,17.02777,880978.256359
7194,7194,2024-02-25 23:30:00+00:00,2024-02-25 23:34:59.999000+00:00,51738.11,51773.13,51738.11,51769.65,47.79399,2473801.8765488,1635,25.89997,1340514.3483009
7195,7195,2024-02-25 23:35:00+00:00,2024-02-25 23:39:59.999000+00:00,51769.66,51780.0,51756.38,51761.91,41.64831,2155953.1764617,3554,19.35143,1001692.3291902
